price,credit_card,is_fraud
755.33,7469267437725417,0
1666.56,4095809263824264,1
906.49,9998198941367203,1
372.65,5593519193768741,0
1083.99,8808687077207220,1
1215.86,9868710667427520,1
772.02,2049668992603346,0
1212.79,3625198453968600,1
463.59,3826578402975783,0
733.62,3612040700115640,0
1272.36,4956367057431550,1
309.93,2332922363807617,0
283.67,8169269830104468,0
564.95,2375707307357328,0
1330.37,9991152830304377,1
1699.95,0256555257140042,1
1148.29,0452847042034602,1
347.29,5927715619190708,0
1407.94,9692187968330726,1
64.96,6528959950395540,0
1657.46,4635326731920729,1
166.13,9994684099015874,1
1280.16,4562924584034994,1
952.21,4699543139929074,0
1371.09,6103712002420079,1
421.3,1212609799912863,0
1388.85,7384839487202310,1
1555.06,4066828003852038,1
1695.81,3294428343468649,1
1948.75,9426189905679819,1
301.74,5270530683352569,0
1813.65,2193786028087054,1
1926.81,9994544322381800,1
1258.84,6897574793979148,1
527.3,0804325124819714,0
62.47,0104985001820465,0
1386.51,4524644499204802,1
556.72,0071769915521054,0
185.93,0644126515111213,0
1099.42,6920439709037415,1
990.31,2866573737822192,0
91.33,9545048910989885,0
172.7,0930702375967197,0
274.9,6195228649680659,0
1075.32,3839281351770298,1
681.52,1754804545563768,0
169.67,7437513355075281,0
1117.96,2459532303009543,1
648.08,5179469171304808,0
1195.32,6204147812207578,1
1503.5,2444293898177672,1
1251.96,0800614772625526,1
1463.79,3036358046035194,1
1754.76,5373774312233943,1
371.38,5576997180733474,0
1417.4,9852785604493568,1
670.97,2748489384982389,0
1840.51,1102578635470059,1
36.06,6038035570606272,0
705.28,0721021150152307,0
1724.95,9921066167086276,1
1347.07,9995842207127733,1
1339.49,6169606422311043,1
678.37,2663445814239570,0
1738.25,6012087186855399,1
1802.14,4514938510485964,1
31.88,8571846909491502,0
189.77,4730672516755470,0
547.12,2230189148870087,0
875.31,2142512400986072,0
1467.13,6455781898996069,1
1140.21,4682716136219607,1
467.72,1247966670358109,0
1754.56,2916126304878986,1
1049.81,0271314804808739,1
1598.0,5677186337354291,1
774.34,9999275445608239,1
1054.81,2110722578834187,1
538.54,8281987841757491,0
171.28,4017292771705727,0
498.12,8849356498269946,0
329.91,6108071725269814,0
213.99,3130509505971132,0
1192.85,0529691130286631,1
1547.92,2074435284209512,1
71.96,1780471362479238,0
12.45,3385855441770741,0
1364.11,5805875278085530,1
1123.7,9990100803956156,1
409.71,1960725858681771,0
1254.36,6335959289156829,1
664.74,7646215125478292,0
